experiment,accuracy,precision_macro,recall_macro,f1_macro,auroc_macro
resnet50_centralised,0.9111111111111111,0.9222222222222222,0.9031329146861881,0.9085253517742237,0.9874405302980632
resnet50_fedavg_K4_T20_E3,0.9703703703703703,0.9720588235294118,0.9693877551020408,0.9704065040650406,0.9982827339487933
vgg19_centralised,0.9259259259259259,0.9226648939421724,0.9251909162050369,0.9238496774348275,0.9850370959227689
vgg19_fedavg_K4_T2_E1,0.32592592592592595,0.10864197530864199,0.3333333333333333,0.16387337057728119,0.5461348895332391
